61020,matematiklærer på gladsaxe gymnasium,2016-06-28,matematik,,Buddinge Hovedgade 81,2860,Søborg,Region Hovedstaden;
61021,vikariat i erhvervsøkonomi,2016-06-28,erhvervsøkonomi,,Kileparken 25,8381,Tilst,Region Midtjylland;
61024,to vikariater. et  i psykologi og et i samfundsfag og erhvervsøøkonomi,2016-06-28,psykologi,,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61024,to vikariater. et  i psykologi og et i samfundsfag og erhvervsøøkonomi,2016-06-28,samfundsfag,,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61027,årsvikariat i psykologi (ca. 300 timer),2016-06-29,psykologi,,Læssøegade 154,5230,Odense M,Region Syddanmark;
61029,fuldtidsstilling i samfundsfag,2016-06-29,samfundsfag,,Titangade 13A,2200,København N,Region Hovedstaden;
61031,gymnasielærer i biologi, matematik og informationsteknologi,2016,biologi-matematik-teknologi,,Gymnasievej 4,4600,Køge
61031,gymnasielærer i biologi, matematik og informationsteknologi,06,biologi-matematik-teknologi,,Gymnasievej 4,4600,Køge
61031,gymnasielærer i biologi, matematik og informationsteknologi,29,biologi-matematik-teknologi,,Gymnasievej 4,4600,Køge
61034,undervisere til matematik, fysik og  kemi  - faste stillinger,2016,fysik-kemi-matematik,,Rådmands Boulevard 20,8900,Randers C
61034,undervisere til matematik, fysik og  kemi  - faste stillinger,06,fysik-kemi-matematik,,Rådmands Boulevard 20,8900,Randers C
61034,undervisere til matematik, fysik og  kemi  - faste stillinger,30,fysik-kemi-matematik,,Rådmands Boulevard 20,8900,Randers C
61035,vikartimer i historie og fysik,2016-07-01,fysik,,Prinsessegade 35,1422,København K,Region Hovedstaden;
61035,vikartimer i historie og fysik,2016-07-01,historie,,Prinsessegade 35,1422,København K,Region Hovedstaden;
61036,risskov gymnasium søger tyskvikar,2016-07-01,tysk,,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61039,årsvikariater i dansk ved frederiksberg hf-kursus,2016-07-02,dansk,,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61040,dansk c - vikariat,2016-07-07,dansk,,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61042,gymnasielærer søges til geografi c / naturfag,2016-07-08,geografi,,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61042,gymnasielærer søges til geografi c / naturfag,2016-07-08,naturfag,,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61045,barselsvikariat i oldtidskundskab,2016-07-14,oldtidskundskab,,Idrætsvej 1,5883,Oure,Region Syddanmark;
61046,nasiale uddannelse - gux aasiaat søger dansklærer med engelsk eller religion,          ,dansk,,         ,    ,       ,         ;
61046,nasiale uddannelse - gux aasiaat søger dansklærer med engelsk eller religion,          ,engelsk,,         ,    ,       ,         ;
61046,nasiale uddannelse - gux aasiaat søger dansklærer med engelsk eller religion,          ,religion,,         ,    ,       ,         ;
61047,gux aasiaat søger dansklærer med engelsk eller religion,2016-07-14,dansk,,Postboks 225,3950,Aasiaat,;
61047,gux aasiaat søger dansklærer med engelsk eller religion,2016-07-14,engelsk,,Postboks 225,3950,Aasiaat,;
61047,gux aasiaat søger dansklærer med engelsk eller religion,2016-07-14,religion,,Postboks 225,3950,Aasiaat,;
61049,idrætstimer ved frederiksberg hf-kursus,2016-07-21,idræt,,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61053,hf-lærer – dansk og psykologi c,2016-08-02,dansk,,Munkevej 9,7700,Thisted,Region Nordjylland;
61053,hf-lærer – dansk og psykologi c,2016-08-02,psykologi,,Munkevej 9,7700,Thisted,Region Nordjylland;
61059,vikariat i spansk og fransk,2016-08-09,fransk,,Nordre Frihavnsgade 9-11,2100,København &#21,Region Hovedstaden;
61059,vikariat i spansk og fransk,2016-08-09,spansk,,Nordre Frihavnsgade 9-11,2100,København &#21,Region Hovedstaden;
61060,timerester i design ved frederiksberg hf-kursus,2016-08-09,design,,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61067,vikar i matematik,2016-08-15,matematik,,Birketinget 9,8000,Aarhus C,Region Midtjylland;
61076,barselsvikariat i engelsk på århus akademi,2016-08-19,engelsk,,G&#246;teborg Allé 2-4,8200,Aarhus N,Region Midtjylland
61079,kvuc timerest biologi,2016-08-23,biologi,,Vognmagergade 8,1120,København K,Region Hovedstaden;
61081,vikar i tysk og idræt,2016-08-23,idræt,,Stenhusvej 20,4300,Holbæk,Region Sjælland;
61081,vikar i tysk og idræt,2016-08-23,tysk,,Stenhusvej 20,4300,Holbæk,Region Sjælland;
61083,barselsvikar i tysk og historie på mariagerfjord gymnasium,2016-08-23,historie,,Amerikavej 5,9500,Hobro,Region Nordjylland;
61083,barselsvikar i tysk og historie på mariagerfjord gymnasium,2016-08-23,tysk,,Amerikavej 5,9500,Hobro,Region Nordjylland;
61084,et barselsvikariat i engelsk og et mindre vikariat i psykologi er ledigt til besættelse på birkerød gymnasium, hf, ib & kostskole,2016-08-24,engelsk-psykologi,,Søndervangen 56,3460
61086,vikar i historie til bjerringbro gymnasium,2016-08-24,historie,,P.E. Eriksens Vej 2,8850,Bjerringbro,Region Midtjylland;
61093,1-2 nye kolleger søges til undervisning i matematik c og kemi c,2016-08-30,kemi,,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61093,1-2 nye kolleger søges til undervisning i matematik c og kemi c,2016-08-30,matematik,,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61094,vikariat i dansk på kvuc,2016-08-29,dansk,,Vognmagergade 8,1120,København K,Region Hovedstaden;
61097,barselsvikariat i samfundsfag,2016-08-30,samfundsfag,,Østre Hougvej 97,5500,Middelfart,Region Syddanmark;
