61020,matematiklærer på gladsaxe gymnasium,2016-06-28,matematik,fast stilling,Buddinge Hovedgade 81,2860,Søborg,Region Hovedstaden;
61021,vikariat i erhvervsøkonomi,2016-06-28,erhvervsøkonomi,vikariat,Kileparken 25,8381,Tilst,Region Midtjylland;
61024,to vikariater. et  i psykologi og et i samfundsfag og erhvervsøøkonomi,2016-06-28,psykologi,vikariat,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61024,to vikariater. et  i psykologi og et i samfundsfag og erhvervsøøkonomi,2016-06-28,samfundsfag,vikariat,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61027,årsvikariat i psykologi (ca. 300 timer),2016-06-29,psykologi,vikariat,Læssøegade 154,5230,Odense M,Region Syddanmark;
61029,fuldtidsstilling i samfundsfag,2016-06-29,samfundsfag,fast stilling,Titangade 13A,2200,København N,Region Hovedstaden;
61031,gymnasielærer i biologi matematik og informationsteknologi,2016-06-29,biologi,fast stilling,Gymnasievej 4,4600,Køge,Region Sjælland;
61031,gymnasielærer i biologi matematik og informationsteknologi,2016-06-29,matematik,fast stilling,Gymnasievej 4,4600,Køge,Region Sjælland;
61031,gymnasielærer i biologi matematik og informationsteknologi,2016-06-29,teknologi,fast stilling,Gymnasievej 4,4600,Køge,Region Sjælland;
61034,undervisere til matematik fysik og  kemi  - faste stillinger,2016-06-30,fysik,fast stilling,Rådmands Boulevard 20,8900,Randers C,Region Midtjylland;
61034,undervisere til matematik fysik og  kemi  - faste stillinger,2016-06-30,kemi,fast stilling,Rådmands Boulevard 20,8900,Randers C,Region Midtjylland;
61034,undervisere til matematik fysik og  kemi  - faste stillinger,2016-06-30,matematik,fast stilling,Rådmands Boulevard 20,8900,Randers C,Region Midtjylland;
61035,vikartimer i historie og fysik,2016-07-01,fysik,vikariat,Prinsessegade 35,1422,København K,Region Hovedstaden;
61035,vikartimer i historie og fysik,2016-07-01,historie,vikariat,Prinsessegade 35,1422,København K,Region Hovedstaden;
61036,risskov gymnasium søger tyskvikar,2016-07-01,tysk,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61039,årsvikariater i dansk ved frederiksberg hf-kursus,2016-07-02,dansk,vikariat,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61040,dansk c - vikariat,2016-07-07,dansk,vikariat,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61042,gymnasielærer søges til geografi c / naturfag,2016-07-08,geografi,fast stilling,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61042,gymnasielærer søges til geografi c / naturfag,2016-07-08,naturfag,fast stilling,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61045,barselsvikariat i oldtidskundskab,2016-07-14,oldtidskundskab,vikariat,Idrætsvej 1,5883,Oure,Region Syddanmark;
61046,nasiale uddannelse - gux aasiaat søger dansklærer med engelsk eller religion,          ,dansk,fast stilling,         ,    ,       ,         ;
61046,nasiale uddannelse - gux aasiaat søger dansklærer med engelsk eller religion,          ,engelsk,fast stilling,         ,    ,       ,         ;
61046,nasiale uddannelse - gux aasiaat søger dansklærer med engelsk eller religion,          ,religion,fast stilling,         ,    ,       ,         ;
61047,gux aasiaat søger dansklærer med engelsk eller religion,2016-07-14,dansk,fast stilling,Postboks 225,3950,Aasiaat,;
61047,gux aasiaat søger dansklærer med engelsk eller religion,2016-07-14,engelsk,fast stilling,Postboks 225,3950,Aasiaat,;
61047,gux aasiaat søger dansklærer med engelsk eller religion,2016-07-14,religion,fast stilling,Postboks 225,3950,Aasiaat,;
61049,idrætstimer ved frederiksberg hf-kursus,2016-07-21,idræt,fast stilling,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61053,hf-lærer – dansk og psykologi c,2016-08-02,dansk,fast stilling,Munkevej 9,7700,Thisted,Region Nordjylland;
61053,hf-lærer – dansk og psykologi c,2016-08-02,psykologi,fast stilling,Munkevej 9,7700,Thisted,Region Nordjylland;
61059,vikariat i spansk og fransk,2016-08-09,fransk,vikariat,Nordre Frihavnsgade 9-11,2100,København &#21,Region Hovedstaden;
61059,vikariat i spansk og fransk,2016-08-09,spansk,vikariat,Nordre Frihavnsgade 9-11,2100,København &#21,Region Hovedstaden;
61060,timerester i design ved frederiksberg hf-kursus,2016-08-09,design,fast stilling,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61067,vikar i matematik,2016-08-15,matematik,vikariat,Birketinget 9,8000,Aarhus C,Region Midtjylland;
61076,barselsvikariat i engelsk på århus akademi,2016-08-19,engelsk,vikariat,G&#246;teborg Allé 2-4,8200,Aarhus N,Region Midtjylland
61079,kvuc timerest biologi,2016-08-23,biologi,fast stilling,Vognmagergade 8,1120,København K,Region Hovedstaden;
61081,vikar i tysk og idræt,2016-08-23,idræt,vikariat,Stenhusvej 20,4300,Holbæk,Region Sjælland;
61081,vikar i tysk og idræt,2016-08-23,tysk,vikariat,Stenhusvej 20,4300,Holbæk,Region Sjælland;
61083,barselsvikar i tysk og historie på mariagerfjord gymnasium,2016-08-23,historie,vikariat,Amerikavej 5,9500,Hobro,Region Nordjylland;
61083,barselsvikar i tysk og historie på mariagerfjord gymnasium,2016-08-23,tysk,vikariat,Amerikavej 5,9500,Hobro,Region Nordjylland;
61084,et barselsvikariat i engelsk og et mindre vikariat i psykologi er ledigt til besættelse på birkerød gymnasium hf ib & kostskole,2016-08-24,engelsk,vikariat,Søndervangen 56,3460,Birkerød,Region Hovedstaden;
61084,et barselsvikariat i engelsk og et mindre vikariat i psykologi er ledigt til besættelse på birkerød gymnasium hf ib & kostskole,2016-08-24,psykologi,vikariat,Søndervangen 56,3460,Birkerød,Region Hovedstaden;
61086,vikar i historie til bjerringbro gymnasium,2016-08-24,historie,vikariat,P.E. Eriksens Vej 2,8850,Bjerringbro,Region Midtjylland;
61093,1-2 nye kolleger søges til undervisning i matematik c og kemi c,2016-08-30,kemi,fast stilling,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61093,1-2 nye kolleger søges til undervisning i matematik c og kemi c,2016-08-30,matematik,fast stilling,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61094,vikariat i dansk på kvuc,2016-08-29,dansk,vikariat,Vognmagergade 8,1120,København K,Region Hovedstaden;
61097,barselsvikariat i samfundsfag,2016-08-30,samfundsfag,vikariat,Østre Hougvej 97,5500,Middelfart,Region Syddanmark;
61098,knord søger barselsvikarer til engelsk og dansk på handelsgymnasiet,2016-08-31,dansk,vikariat,Hjortehøjsvej 1,2800,Kongens Lyngby,Region Hovedstaden;
61098,knord søger barselsvikarer til engelsk og dansk på handelsgymnasiet,2016-08-31,engelsk,vikariat,Hjortehøjsvej 1,2800,Kongens Lyngby,Region Hovedstaden;
61100,vikar i matematik,2016-09-01,matematik,vikariat,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61102,fast stilling  i matematik og fysik på svendborg gymnasium til besættelse 1. oktober.,2016-09-02,fysik,fast stilling,A. P. Møllersvej 35,5700,Svendborg,Region Syddanmark;
61102,fast stilling  i matematik og fysik på svendborg gymnasium til besættelse 1. oktober.,2016-09-02,matematik,fast stilling,A. P. Møllersvej 35,5700,Svendborg,Region Syddanmark;
61105,johannesgymnasiet søger barselsvikar i tysk og religion,2016-09-05,religion,vikariat,Troels-Lunds Vej 15,2000,Frederiksberg,Region Hovedstaden;
