61020,matematiklærer på gladsaxe gymnasium,2016-06-28,matematik,,Buddinge Hovedgade 81,2860,Søborg,Region Hovedstaden;
61021,vikariat i erhvervsøkonomi,2016-06-28,erhvervsøkonomi,,Kileparken 25,8381,Tilst,Region Midtjylland;
61022,vuc syd søger hf-lærere i flere fag,2016-06-28,,,Lavgade 30,6200,Aabenraa,Region Syddanmark;
61024,to vikariater. et  i psykologi og et i samfundsfag og erhvervsøøkonomi,2016-06-28,psykologi-samfundsfag,,Dahlénsstræde 5,2820,Gentofte,Region Hovedstaden;
61025,hf & vuc københavn syd søger nye lærere til august,2016-06-28,,,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61027,årsvikariat i psykologi (ca. 300 timer),2016-06-29,psykologi,,Læssøegade 154,5230,Odense M,Region Syddanmark;
61029,fuldtidsstilling i samfundsfag,2016-06-29,samfundsfag,,Titangade 13A,2200,København N,Region Hovedstaden;
61035,vikartimer i historie og fysik,2016-07-01,fysik-historie,,Prinsessegade 35,1422,København K,Region Hovedstaden;
61036,risskov gymnasium søger tyskvikar,2016-07-01,tysk,,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61037,vejleder med fokus på virksomheder,2016-07-01,,,Lavgade 30,6200,Aabenraa,Region Syddanmark;
61039,årsvikariater i dansk ved frederiksberg hf-kursus,2016-07-02,dansk,,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61040,dansk c - vikariat,2016-07-07,dansk,,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61042,gymnasielærer søges til geografi c / naturfag,2016-07-08,geografi-naturfag,,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61044,ledig stilling på københavns private gymnasium,,,,,,,;
61045,barselsvikariat i oldtidskundskab,2016-07-14,oldtidskundskab,,Idrætsvej 1,5883,Oure,Region Syddanmark;
61046,nasiale uddannelse - gux aasiaat søger dansklærer med engelsk eller religion,,dansk-engelsk-religion,,,,,;
61047,gux aasiaat søger dansklærer med engelsk eller religion,2016-07-14,dansk-engelsk-religion,,Postboks 225,3950,Aasiaat,;
61049,idrætstimer ved frederiksberg hf-kursus,2016-07-21,idræt,,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61053,hf-lærer – dansk og psykologi c,2016-08-02,dansk-psykologi,,Munkevej 9,7700,Thisted,Region Nordjylland;
61057,projektansættelse - kommunikationsmedarbejder til roskilde gymnasium,2016-08-05,,,Domkirkepladsen,4000,Roskilde,Region Sjælland;
61059,vikariat i spansk og fransk,2016-08-09,fransk-spansk,,Nordre Frihavnsgade 9-11,2100,København &#21,Region Hovedstaden;
61060,timerester i design ved frederiksberg hf-kursus,2016-08-09,design,,Sønderjyllandsallé 2,2000,Frederiksberg,Region Hovedstaden;
61061,gymnasielærer,2016-08-10,,,Brorsonsvej 2,7400,Herning,Region Midtjylland;
61067,vikar i matematik,2016-08-15,matematik,,Birketinget 9,8000,Aarhus C,Region Midtjylland;
61069,ledig stilling på københavns private gymnasium,2016-08-15,,,Præstøgade 17,2100,København &#21,Region Hovedstaden;
61073,-lærer,2016-08-18,,,Kottesgade 6 - 8,5000,Odense C,Region Syddanmark;
61075,hf & vuc københavn syd søger nye lærere,2016-08-18,,,Åmarksvej 1,2650,Hvidovre,Region Hovedstaden;
61076,barselsvikariat i engelsk på århus akademi,2016-08-19,engelsk,,G&#246;teborg Allé 2-4,8200,Aarhus N,Region Midtjylland
61079,kvuc timerest biologi,2016-08-23,biologi,,Vognmagergade 8,1120,København K,Region Hovedstaden;
61081,vikar i tysk og idræt,2016-08-23,idræt-tysk,,Stenhusvej 20,4300,Holbæk,Region Sjælland;
61083,barselsvikar i tysk og historie på mariagerfjord gymnasium,2016-08-23,historie-tysk,,Amerikavej 5,9500,Hobro,Region Nordjylland;
61086,vikar i historie til bjerringbro gymnasium,2016-08-24,historie,,P.E. Eriksens Vej 2,8850,Bjerringbro,Region Midtjylland;
61088,adjunkt/lektor,2016-08-25,,,Puggårdsgade 22,6760,Ribe,Region Syddanmark;
61090,vikariat,2016-08-26,,,G&#246;teborg Allé 2-4,8200,Aarhus N,Region Midtjylland
61093,1-2 nye kolleger søges til undervisning i matematik c og kemi c,2016-08-30,kemi-matematik,,Hostrupsgade 48-54,8600,Silkeborg,Region Midtjylland;
61094,vikariat i dansk på kvuc,2016-08-29,dansk,,Vognmagergade 8,1120,København K,Region Hovedstaden;
61095,vuc syd søger vejleder i e-læring,2016-08-30,,,Lavgade 30,6200,Aabenraa,Region Syddanmark;
61097,barselsvikariat i samfundsfag,2016-08-30,samfundsfag,,Østre Hougvej 97,5500,Middelfart,Region Syddanmark;
61098,knord søger barselsvikarer til engelsk og dansk på handelsgymnasiet,2016-08-31,dansk-engelsk,,Hjortehøjsvej 1,2800,Kongens Lyngby,Region Hovedstaden;
61099,hf uddannelsesleder,2016-09-01,,,På sporet 8B,9000,Aalborg,Region Nordjylland;
61100,vikar i matematik,2016-09-01,matematik,,Tranekærvej 70,8240,Risskov,Region Midtjylland;
61102,fast stilling  i matematik og fysik på svendborg gymnasium til besættelse 1. oktober.,2016-09-02,fysik-matematik,,A. P. Møllersvej 35,5700,Svendborg,Region Syddanmark;
61103,lyngby søger fvu- og ordblindelærere,,,,,,,;
61104,lyngby søger fvu- og ordblindelærere,2016-09-02,,,Nybrovej 114,2800,Kongens Lyngby,Region Hovedstaden;
