Subject,Count
afsætning,21
arabisk,2
astronomi,13
billedkunst,99
biologi,328
bioteknologi,41
dansk,339
dansk som andet sprog,4
design,52
dramatik,10
engelsk,344
erhvervsjura,14
erhvervsøkonomi,79
filosofi,23
finansiering,5
fransk,105
fysik,284
geografi,203
græsk,4
grønlandsk,8
historie,148
idehistorie,2
idræt,239
informatik,48
innovation,14
international økonomi,13
italiensk,7
japansk,1
kemi,322
kinesisk,5
kulturforståelse,1
latin,58
matematik,701
materialeteknologi,1
mediefag,45
musik,94
naturfag,3
oldtidskundskab,84
organisation,2
programmering,8
psykologi,198
religion,123
retorik,9
russisk,1
samfundsfag,241
spansk,110
statik og styrkelære,1
teknikfag,6
teknologi,59
tysk,161
virksomhedsøkonomi,33
