billedkunst og design,151,31
biologi,328,157
bioteknologi,41
dansk,339,87
dramatik,10,16
engelsk,344,66
erhvervsøkonomi og virksomhedsøkonomi,112,278
filosofi,23,18
fransk,105,7
fysik,284,124
geografi,203,45
historie,148,90
idræt,239,92
informatik og programmering,56,80
italiensk,7,4
kemi,322,47
kinesisk,5,22
latin,58,1
matematik,701,48
mediefag,45,91
musik,94,46
oldtidskundskab og græsk,88,2
psykologi,198,221
religion,123,13
samfundsfag,241,23
spansk,110,12
tysk,161,11
