billedkunst og design,151,31,11,26
biologi,328,157,69,30
dansk,339,87,53,51
dramatik,10,16,10,35
engelsk,344,66,43,56
erhvervsøkonomi og virksomhedsøkonomi,112,278,799,5
filosofi,23,18,18,39
fransk,105,7,2,50
fysik,284,124,41,34
geografi,203,45,0,22
historie,148,90,37,43
idræt,239,92,54,47
informatik og programmering,56,80,61,5
italiensk,7,4,0,39
kemi,322,47,25,28
kinesisk,5,22,2,38
latin,58,1,2,66
matematik,701,48,25,36
mediefag,45,91,38,15
musik,94,46,15,40
oldtidskundskab og græsk,88,2,2,66
psykologi,198,221,201,9
religion,123,13,15,52
samfundsfag,241,23,10,18
spansk,110,12,2,66
tysk,161,11,2,69
